,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Feels like,Name
0,komsomolskiy,75,UZ,1580076193,86,40.43,71.72,37.4,2.24,29.77,Yangi Marg`ilon
1,nanortalik,100,GL,1580076193,70,60.14,-45.24,22.42,14.45,8.8,Nanortalik
2,tuktoyaktuk,75,CA,1580076194,67,69.45,-133.04,-22.0,5.82,-32.28,Tuktoyaktuk
3,cape%20town,20,ZA,1580075963,72,-33.93,18.42,62.01,6.93,57.09,Cape Town
4,khatanga,93,RU,1580076194,98,71.97,102.5,-21.46,1.03,-28.93,Khatanga
5,manta,75,EC,1580076194,78,-0.95,-80.73,82.4,13.87,84.85,Manta
6,aklavik,90,CA,1580076194,67,68.22,-135.01,-23.8,2.24,-32.08,Aklavik
7,bethel,75,US,1580076194,56,41.37,-73.41,44.6,9.17,32.23,Bethel
8,torbay,75,CA,1580076194,58,47.67,-52.73,30.0,9.17,17.38,Torbay
9,hilo,20,US,1580075955,51,19.73,-155.09,82.4,3.36,73.62,Hilo
10,mataura,100,NZ,1580076194,74,-46.19,168.86,66.0,4.0,66.11,Mataura
11,victoria,40,HK,1580076172,71,22.29,114.16,53.01,13.87,42.06,Hong Kong
12,mandera,58,KE,1580076008,43,3.94,41.87,88.32,3.4,90.82,Mandera
13,ambon,100,ID,1580076028,76,-3.7,128.18,81.14,4.56,87.69,Ambon
14,bathsheba,40,BB,1580076195,65,13.22,-59.52,82.4,9.17,84.58,Bathsheba
15,mar%20del%20plata,68,AR,1580075944,53,-38.0,-57.56,75.2,16.11,62.56,Mar del Plata
16,bambous%20virieux,75,MU,1580076195,83,-20.34,57.76,77.0,10.29,77.38,Bambous Virieux
17,hobyo,68,SO,1580076195,77,5.35,48.53,79.47,18.99,77.23,Hobyo
18,rikitea,0,PF,1580076196,79,-23.12,-134.97,78.87,13.2,80.01,Rikitea
19,gorontalo,44,ID,1580076196,95,0.54,123.06,74.55,2.42,82.42,Gorontalo
20,tasiilaq,100,GL,1580076196,47,65.61,-37.64,32.0,6.93,22.6,Tasiilaq
21,atuona,0,PF,1580076196,76,-9.8,-139.03,80.2,13.78,81.09,Atuona
22,hithadhoo,100,MV,1580076196,77,-0.6,73.08,80.83,3.56,88.02,Hithadhoo
23,cidreira,0,BR,1580076196,77,-30.18,-50.21,78.26,10.83,80.02,Cidreira
24,esperance,90,AU,1580076196,93,-33.87,121.9,60.8,8.05,59.09,Esperance
25,clyde%20river,90,CA,1580076196,68,70.47,-68.59,-18.4,16.11,-34.42,Clyde River
26,churapcha,100,RU,1580076197,92,62.0,132.43,-32.84,8.57,-44.72,Churapcha
27,mount%20isa,75,AU,1580076197,94,-20.73,139.5,77.0,8.05,82.9,Mount Isa
28,itaituba,20,BR,1580076197,59,-4.28,-55.98,91.4,1.01,101.19,Itaituba
29,beyneu,38,KZ,1580076197,84,45.32,55.2,31.26,18.52,16.59,Beyneu
30,vaini,40,TO,1580076198,83,-21.2,-175.2,82.4,5.82,90.5,Vaini
31,punta%20arenas,40,CL,1580076198,44,-53.15,-70.92,57.2,23.04,39.85,Punta Arenas
32,albany,90,US,1580075989,76,42.6,-73.97,39.99,8.05,27.75,Albany
33,port%20alfred,28,ZA,1580076198,78,-33.59,26.89,63.0,7.0,60.93,Port Alfred
34,kuryk,99,KZ,1580076198,66,43.2,51.65,42.1,27.09,23.2,Quryq
35,pangai,40,TO,1580076199,78,-19.8,-174.35,82.4,6.93,88.75,Pangai
36,vila%20velha,75,BR,1580075973,83,-20.33,-40.29,77.0,4.7,82.02,Vila Velha
37,hasaki,75,JP,1580076106,64,35.73,140.83,39.2,10.29,25.99,Hasaki
38,peterhead,100,GB,1580076199,80,57.51,-1.8,33.8,8.05,23.25,Peterhead
39,ushtobe,64,KZ,1580076200,82,45.25,77.98,21.2,3.56,13.89,Ushtobe
40,de%20aar,0,ZA,1580076200,44,-30.65,24.01,60.06,19.8,46.33,De Aar
41,hobart,90,AU,1580076129,48,-42.88,147.33,60.8,8.05,50.18,Hobart
42,odesskoye,100,RU,1580076200,86,54.21,72.97,25.86,24.2,7.45,Odesskoye
43,ribeira%20grande,75,PT,1580076200,88,38.52,-28.7,62.6,12.75,58.32,Ribeira Grande
44,bluff,98,NZ,1580076064,74,-46.6,168.33,66.0,4.0,66.11,Bluff
45,barcelos,75,PT,1580075922,82,41.54,-8.62,55.4,18.34,40.78,Barcelos
46,jamestown,90,US,1580076201,92,42.1,-79.24,34.0,11.41,21.42,Jamestown
47,kholmogory,40,RU,1580076201,84,64.22,41.66,-0.4,2.24,-8.12,Kholmogory
48,kidodi,100,TZ,1580076201,94,-7.6,37.0,69.91,4.03,74.34,Kidodi
49,mogadishu,0,SO,1580076201,82,2.04,45.34,81.05,21.09,79.54,Mogadishu
50,busselton,0,AU,1580076201,39,-33.65,115.33,66.99,11.36,55.27,Busselton
51,batagay-alyta,0,RU,1580076201,44,67.8,130.41,-31.92,4.7,-41.69,Batagay-Alyta
52,labuhan,32,ID,1580076201,90,-6.88,112.21,74.91,2.35,82.15,Labuhan
53,new%20norfolk,90,AU,1580076201,48,-42.78,147.06,60.8,8.05,50.02,New Norfolk
54,pucallpa,94,PE,1580076202,44,-8.38,-74.55,94.15,4.61,98.62,Pucallpa
55,fairhope,90,US,1580076202,93,30.52,-87.9,50.0,5.82,44.98,Fairhope
56,sur,0,OM,1580076202,49,22.57,59.53,64.13,14.63,54.63,Sur
57,caravelas,87,BR,1580076202,83,-17.71,-39.25,79.59,17.31,79.59,Caravelas
58,qaanaaq,4,GL,1580076202,56,77.48,-69.36,-10.25,5.14,-20.04,Qaanaaq
59,salinas,75,US,1580076202,77,36.68,-121.66,64.99,12.75,53.28,Salinas
60,olafsvik,100,IS,1580076202,76,64.89,-23.71,31.55,5.53,23.94,Olafsvik
61,saint%20george,1,US,1580076202,31,37.1,-113.58,62.01,3.36,51.71,Saint George
62,souillac,75,MU,1580076203,83,-20.52,57.52,77.0,10.29,77.47,Souillac
63,bengkulu,70,ID,1580076006,88,-3.8,102.27,74.55,3.36,80.69,Bengkulu
64,chokurdakh,100,RU,1580076203,97,70.63,147.92,-23.1,5.64,-33.2,Chokurdakh
65,bredasdorp,56,ZA,1580076203,67,-34.53,20.04,59.0,8.05,52.29,Bredasdorp
66,zhezkazgan,100,KZ,1580076203,91,47.8,67.71,26.46,29.39,5.32,Zhezkazgan
67,seoul,90,KR,1580076203,51,37.57,126.98,42.8,3.36,34.77,Seoul
